type,reason,image,actual_class,predicted_class,iou,det_conf,class_conf,xmin,ymin,xmax,ymax
false_positive,fp_no_gt_iou50,909bt.jpg,,tls-e,0.0,0.427332,0.968495,412.03,479.74,447.62,553.98
false_positive,fp_no_gt_iou50,904c.jpg,,sls-50,0.0,0.459282,0.898573,1462.25,266.54,1566.31,361.18
false_positive,fp_duplicate_or_unmatched,216t.jpg,tls-e,tls-e,0.8243,0.447255,0.920035,870.93,323.78,905.31,399.99
false_positive,fp_no_gt_iou50,752c.jpg,,sls-15,0.4875,0.427809,0.951585,177.18,427.38,226.7,486.83
false_positive,fp_no_gt_iou50,563ft.jpg,,tls-g,0.3854,0.422911,0.955889,345.32,18.73,412.91,123.81
false_positive,fp_no_gt_iou50,534gt.jpg,,tls-g,0.4344,0.426603,0.947395,233.17,333.46,276.79,435.51
false_positive,fp_no_gt_iou50,836t.jpg,,tls-e,0.2555,0.42402,0.937563,380.48,94.83,421.12,185.02
false_positive,fp_no_gt_iou50,475it.jpg,,tls-e,0.0,0.409559,0.965124,1361.74,293.96,1446.32,497.53
false_positive,fp_no_gt_iou50,1237d.jpg,,tls-g,0.0,0.425798,0.924043,64.16,434.16,150.52,529.35
false_positive,fp_no_gt_iou50,552d.jpg,,sls-50,0.4918,0.41846,0.933184,90.61,351.94,146.34,411.71
false_positive,fp_duplicate_or_unmatched,2043bt.jpg,tls-g,tls-g,0.9623,0.41057,0.948507,265.87,471.57,312.12,588.29
false_positive,fp_no_gt_iou50,537c.jpg,,sls-50,0.0,0.407418,0.954898,661.1,553.37,712.39,601.47
false_positive,fp_no_gt_iou50,437d.jpg,,sls-80,0.4932,0.401523,0.947003,219.3,401.08,290.14,467.71
false_positive,fp_no_gt_iou50,873d.jpg,,sls-60,0.441,0.420317,0.897189,42.71,359.26,76.48,406.84
false_positive,fp_no_gt_iou50,442e.jpg,,sls-60,0.2359,0.41036,0.906108,97.12,449.17,170.01,522.04
false_positive,fp_no_gt_iou50,494ft.jpg,,tls-g,0.0,0.399729,0.918216,741.75,462.01,820.94,494.5
false_positive,fp_no_gt_iou50,869.jpg,,sls-40,0.4587,0.406066,0.897885,334.61,402.68,382.74,452.11
false_positive,fp_no_gt_iou50,712gt.jpg,,tls-y,0.4725,0.389873,0.934051,95.37,297.26,145.37,408.25
false_positive,fp_no_gt_iou50,495lt.jpg,,tls-g,0.4254,0.373088,0.97403,73.4,387.36,115.33,466.17
false_positive,fp_no_gt_iou50,859c.jpg,,sls-40,0.4185,0.377091,0.961237,306.54,376.54,356.24,431.6
false_positive,fp_no_gt_iou50,536ft.jpg,,tls-g,0.3392,0.376576,0.961365,350.46,338.61,391.15,454.12
false_positive,fp_no_gt_iou50,495it.jpg,,tls-g,0.0,0.382015,0.947474,622.47,486.62,706.06,511.03
false_positive,fp_no_gt_iou50,568.jpg,,sls-50,0.4756,0.359574,0.978356,361.55,459.58,394.67,498.06
false_positive,fp_no_gt_iou50,762.jpg,,sls-80,0.2176,0.385792,0.902776,251.23,474.1,306.98,532.77
false_positive,fp_no_gt_iou50,1968t.jpg,,tls-g,0.0691,0.373498,0.929179,1119.65,332.9,1167.36,375.38
false_positive,fp_no_gt_iou50,882bt.jpg,,tls-g,0.3615,0.379173,0.908502,159.45,266.6,201.58,355.98
false_positive,fp_no_gt_iou50,916.jpg,,sls-50,0.4604,0.387458,0.884728,167.46,291.24,211.42,336.41
false_positive,fp_no_gt_iou50,484ft.jpg,,tls-g,0.0,0.370314,0.923988,326.47,541.9,359.39,608.43
false_positive,fp_no_gt_iou50,536et.jpg,,tls-g,0.3408,0.361903,0.924102,427.38,379.82,461.64,479.1
false_positive,fp_no_gt_iou50,427lt.jpg,,tls-y,0.0,0.351393,0.945344,1274.89,516.94,1325.51,634.1
false_positive,fp_no_gt_iou50,496it.jpg,,tls-g,0.0,0.34381,0.95116,220.45,519.71,268.54,630.98
false_positive,fp_no_gt_iou50,775.jpg,,sls-40,0.457,0.330171,0.98065,342.94,486.88,397.77,539.89
false_positive,fp_no_gt_iou50,537e.jpg,,sls-40,0.4559,0.344267,0.93495,377.02,345.48,427.85,394.3
false_positive,fp_no_gt_iou50,873c.jpg,,sls-60,0.2319,0.344846,0.932893,113.99,374.2,148.47,414.29
false_positive,fp_no_gt_iou50,416ht.jpg,,tls-g,0.4181,0.339952,0.940589,256.08,243.45,314.56,374.38
false_positive,fp_no_gt_iou50,1104b.jpg,,sls-50,0.0275,0.333595,0.938488,600.51,636.2,647.37,684.74
false_positive,fp_no_gt_iou50,870d.jpg,,sls-40,0.3642,0.352442,0.880265,85.9,395.63,123.94,442.96
false_positive,fp_duplicate_or_unmatched,221it.jpg,tls-g,tls-g,0.8848,0.325357,0.952698,1150.26,100.47,1205.06,213.12
false_positive,fp_duplicate_or_unmatched,969e.jpg,sls-40,sls-40,0.5249,0.341867,0.905047,67.04,193.86,122.01,255.15
false_positive,fp_no_gt_iou50,496ht.jpg,,tls-g,0.1665,0.321574,0.959555,1146.93,432.81,1219.59,469.48
false_positive,fp_no_gt_iou50,495mt.jpg,,tls-g,0.3174,0.316822,0.972444,9.31,371.19,56.96,463.19
false_positive,fp_no_gt_iou50,911t.jpg,,tls-g,0.4947,0.324186,0.945372,582.58,365.64,643.96,399.66
false_positive,fp_no_gt_iou50,736dt.jpg,,tls-g,0.4723,0.328591,0.931511,889.69,292.16,932.1,410.73
false_positive,fp_no_gt_iou50,752.jpg,,sls-15,0.3387,0.327284,0.922188,279.76,461.9,319.73,509.17
false_positive,fp_no_gt_iou50,416gt.jpg,,tls-g,0.2601,0.315036,0.946181,376.73,338.84,419.9,437.66
false_positive,fp_no_gt_iou50,956dt.jpg,,tls-g,0.2447,0.323293,0.916874,313.13,289.09,348.26,377.44
false_positive,fp_duplicate_or_unmatched,843.jpg,sls-100,sls-100,0.6936,0.306444,0.966558,311.92,394.8,369.32,456.57
false_positive,fp_duplicate_or_unmatched,495mt.jpg,tls-g,tls-g,0.6473,0.306931,0.955422,438.6,153.93,535.12,209.28
false_positive,fp_no_gt_iou50,925bt.jpg,,tls-e,0.4627,0.305951,0.940229,250.26,318.26,290.28,418.42
false_positive,fp_duplicate_or_unmatched,151.jpg,sls-80,sls-80,0.9224,0.298891,0.961501,519.68,461.85,587.96,529.03
false_positive,fp_no_gt_iou50,508nt.jpg,,tls-g,0.4597,0.294881,0.958518,110.22,240.55,193.59,432.42
false_positive,fp_no_gt_iou50,452h.jpg,,sls-80,0.4211,0.29789,0.94549,110.33,420.86,186.19,500.87
false_positive,fp_no_gt_iou50,874c.jpg,,sls-40,0.295,0.303892,0.91078,142.15,380.81,177.2,421.81
false_positive,fp_no_gt_iou50,484gt.jpg,,tls-g,0.0,0.293145,0.942586,1404.43,532.43,1441.54,630.18
false_positive,fp_no_gt_iou50,725ct.jpg,,tls-g,0.4315,0.282636,0.968718,931.33,361.15,974.57,470.43
false_positive,fp_no_gt_iou50,427mt.jpg,,tls-y,0.0,0.280093,0.961956,1346.29,501.05,1391.28,614.6
false_positive,fp_no_gt_iou50,461ot.jpg,,tls-y,0.4917,0.279621,0.952721,211.51,311.03,248.85,379.97
false_positive,fp_no_gt_iou50,845c.jpg,,sls-100,0.2817,0.276057,0.964841,194.59,403.14,238.69,448.82
false_positive,fp_no_gt_iou50,914ft.jpg,,tls-g,0.2611,0.288427,0.916517,129.27,264.59,182.59,380.33
false_positive,fp_duplicate_or_unmatched,2244at.jpg,tls-g,tls-g,0.8411,0.282484,0.934821,717.14,352.07,806.08,390.45
false_positive,fp_duplicate_or_unmatched,train_872.jpg,no honking,no honking,0.8979,0.285162,0.924139,836.94,682.49,1018.46,868.51
false_positive,fp_no_gt_iou50,845c.jpg,,sls-100,0.4234,0.268715,0.974968,202.87,404.0,246.83,449.02
false_positive,fp_no_gt_iou50,755d.jpg,,sls-80,0.3113,0.285422,0.914252,69.18,465.38,103.59,512.35
false_positive,fp_no_gt_iou50,762b.jpg,,sls-80,0.2349,0.293556,0.887311,358.03,503.34,401.9,547.66
false_positive,fp_no_gt_iou50,587et.jpg,,tls-g,0.3293,0.265101,0.97681,692.99,138.87,734.99,255.14
false_positive,fp_no_gt_iou50,497jt.jpg,,tls-e,0.0,0.288213,0.891926,972.77,332.08,1084.32,381.83
false_positive,fp_no_gt_iou50,563et.jpg,,tls-g,0.3891,0.277603,0.920956,416.65,132.28,466.21,220.35
false_positive,fp_no_gt_iou50,369c.jpg,,tls-g,0.0,0.265524,0.962554,315.53,289.35,370.45,404.0
false_positive,fp_no_gt_iou50,555dt.jpg,,tls-c,0.0,0.267944,0.953445,750.26,473.78,781.3,537.65
false_positive,fp_no_gt_iou50,775c.jpg,,sls-40,0.3534,0.262314,0.973537,275.45,469.72,343.02,532.6
false_positive,fp_no_gt_iou50,855c.jpg,,sls-80,0.3743,0.266073,0.959566,157.97,386.99,214.55,449.76
false_positive,fp_no_gt_iou50,1104d.jpg,,sls-40,0.0,0.281573,0.904807,51.72,434.03,131.13,507.18
false_positive,fp_no_gt_iou50,534ft.jpg,,tls-g,0.395,0.27517,0.923497,337.08,352.32,375.71,454.79
false_positive,fp_no_gt_iou50,507d.jpg,,tls-g,0.0,0.27911,0.904628,1852.45,53.42,1920.0,224.6
false_positive,fp_no_gt_iou50,468et.jpg,,tls-g,0.4044,0.274111,0.912379,258.45,403.52,289.46,476.09
false_positive,fp_no_gt_iou50,910bt.jpg,,tls-g,0.0,0.265591,0.941104,751.58,401.06,812.18,430.35
false_positive,fp_no_gt_iou50,427it.jpg,,tls-y,0.0,0.261765,0.953675,969.89,585.67,1007.04,667.36
false_positive,fp_no_gt_iou50,508jt.jpg,,tls-g,0.4758,0.257546,0.968342,936.36,287.25,982.55,417.22
false_positive,fp_no_gt_iou50,609ht.jpg,,tls-g,0.2062,0.258776,0.963674,249.6,47.64,304.12,169.36
false_positive,fp_no_gt_iou50,761c.jpg,,sls-80,0.3122,0.264172,0.941718,175.99,464.0,226.75,520.94
false_positive,fp_duplicate_or_unmatched,2009t.jpg,tls-g,tls-g,0.831,0.267305,0.930084,804.54,410.72,839.47,483.77
false_positive,fp_no_gt_iou50,2703a.jpg,,tls-g,0.0,0.27885,0.889688,924.16,442.0,987.61,470.08
false_positive,fp_no_gt_iou50,736ct.jpg,,tls-g,0.4663,0.258288,0.958797,835.67,376.97,867.07,466.44
false_positive,fp_no_gt_iou50,916b.jpg,,sls-50,0.4425,0.265705,0.931734,238.96,322.4,277.82,359.99
false_positive,fp_no_gt_iou50,859b.jpg,,sls-40,0.4884,0.265628,0.93135,1041.39,419.2,1083.3,461.4
false_positive,fp_duplicate_or_unmatched,216t.jpg,tls-e,tls-e,0.8179,0.255619,0.965776,632.67,462.66,666.1,547.42
false_positive,fp_wrong_class,494kt.jpg,tls-e,tls-g,0.5411,0.262436,0.932711,495.89,118.64,591.88,170.49
false_positive,fp_other_sign_overlap,551d.jpg,other_sign,tls-r,0.7013,0.268973,0.907742,1042.77,375.77,1130.1,463.62
false_positive,fp_no_gt_iou50,775b.jpg,,sls-40,0.3831,0.249011,0.978517,402.98,505.53,443.34,543.82
false_positive,fp_no_gt_iou50,418d.jpg,,sls-50,0.0088,0.263008,0.923832,91.32,325.44,131.72,387.82
false_positive,fp_no_gt_iou50,475ht.jpg,,tls-y,0.0,0.26692,0.906849,1175.3,511.59,1220.68,633.19
false_positive,fp_no_gt_iou50,775c.jpg,,sls-40,0.4606,0.245317,0.981656,283.57,469.33,350.58,532.85
false_positive,fp_no_gt_iou50,1313d.jpg,,tls-g,0.0,0.265012,0.899937,73.06,390.65,149.57,473.44
false_positive,fp_duplicate_or_unmatched,495lt.jpg,tls-g,tls-g,0.6194,0.243261,0.977482,80.67,388.08,122.15,467.59
false_positive,fp_no_gt_iou50,844.jpg,,sls-100,0.4714,0.249675,0.947611,288.82,397.02,338.45,449.71
false_positive,fp_no_gt_iou50,496lt.jpg,,tls-g,0.4907,0.256806,0.915639,437.21,36.05,555.65,104.57
false_positive,fp_no_gt_iou50,609ht.jpg,,tls-g,0.481,0.245132,0.958157,494.04,35.99,543.18,167.21
false_positive,fp_no_gt_iou50,780et.jpg,,tls-g,0.4235,0.248991,0.942277,437.6,51.41,486.14,163.73
false_positive,fp_no_gt_iou50,656.jpg,,tls-g,0.0,0.248687,0.940127,118.31,321.95,154.94,396.74
false_positive,fp_other_sign_overlap,917c.jpg,other_sign,sls-50,0.5225,0.253265,0.907519,4.47,225.61,78.02,302.79
false_positive,fp_no_gt_iou50,501f.jpg,,sls-40,0.4323,0.24417,0.938526,81.02,312.35,133.41,362.01
false_positive,fp_other_sign_overlap,723.jpg,other_sign,tls-g,0.5291,0.236355,0.967365,855.62,482.01,899.61,525.76
false_positive,fp_no_gt_iou50,958t.jpg,,tls-g,0.3481,0.243481,0.930466,760.62,244.67,843.62,281.57
false_positive,fp_no_gt_iou50,428.jpg,,sls-100,0.0,0.234311,0.955774,528.21,636.94,597.25,707.41
false_positive,fp_duplicate_or_unmatched,745dt.jpg,tls-g,tls-g,0.6751,0.227368,0.965254,1089.82,294.45,1169.17,456.95
false_positive,fp_no_gt_iou50,925at.jpg,,tls-y,0.2692,0.23238,0.938144,242.22,323.38,276.19,409.1
false_positive,fp_duplicate_or_unmatched,878bt.jpg,tls-y,tls-y,0.5694,0.230179,0.944254,330.59,302.05,355.72,356.76
false_positive,fp_no_gt_iou50,924dt.jpg,,tls-e,0.4864,0.226861,0.953437,851.43,264.06,887.97,379.78
false_positive,fp_no_gt_iou50,563ft.jpg,,tls-g,0.2504,0.220354,0.977695,1.03,281.4,45.08,387.64
false_positive,fp_no_gt_iou50,2116at.jpg,,tls-g,0.0,0.234919,0.914581,729.75,620.66,764.51,699.83
false_positive,fp_no_gt_iou50,1923et.jpg,,tls-g,0.0,0.24293,0.880662,0.0,429.95,20.82,542.45
false_positive,fp_no_gt_iou50,427ht.jpg,,tls-y,0.0776,0.226389,0.94376,218.57,435.46,254.29,511.08
false_positive,fp_no_gt_iou50,508it.jpg,,tls-g,0.47,0.224538,0.944598,795.05,370.24,825.63,476.85
false_positive,fp_no_gt_iou50,545.jpg,,tls-g,0.4406,0.22166,0.956364,349.83,426.46,397.18,477.84
false_positive,fp_no_gt_iou50,910t.jpg,,tls-g,0.2419,0.224823,0.939757,124.16,355.21,155.6,412.77
false_positive,fp_no_gt_iou50,909et.jpg,,tls-g,0.4829,0.223961,0.938874,504.5,121.9,608.94,168.59
false_positive,fp_no_gt_iou50,912t.jpg,,tls-y,0.0328,0.231131,0.89882,21.44,327.08,55.31,399.61
false_positive,fp_no_gt_iou50,427ht.jpg,,tls-y,0.1898,0.220587,0.939604,224.9,433.74,260.56,511.19
false_positive,fp_duplicate_or_unmatched,568c.jpg,sls-50,sls-50,0.9117,0.210267,0.977984,266.33,416.29,309.52,464.43
false_positive,fp_no_gt_iou50,853a.jpg,,sls-80,0.4959,0.225438,0.907371,452.02,392.39,487.46,428.18
false_positive,fp_no_gt_iou50,439d.jpg,,sls-80,0.3162,0.228486,0.894271,125.25,452.6,190.54,523.09
false_positive,fp_duplicate_or_unmatched,910bt.jpg,tls-g,tls-g,0.8493,0.218019,0.936313,441.01,512.0,472.13,582.29
false_positive,fp_no_gt_iou50,500c.jpg,,sls-50,0.0,0.226395,0.900132,406.87,526.07,456.93,580.65
false_positive,fp_no_gt_iou50,555gt.jpg,,tls-g,0.0,0.216781,0.93252,394.16,428.78,428.3,497.14
false_positive,fp_no_gt_iou50,563dt.jpg,,tls-g,0.4469,0.205318,0.983675,312.14,413.29,340.49,482.0
false_positive,fp_no_gt_iou50,500d.jpg,,sls-50,0.263,0.211032,0.954136,118.26,334.95,163.73,389.34
false_positive,fp_no_gt_iou50,626c.jpg,,tls-y,0.3849,0.21811,0.921172,269.91,469.86,326.85,522.97
false_positive,fp_no_gt_iou50,369c.jpg,,tls-g,0.0,0.208297,0.963805,304.52,288.59,358.24,401.81
false_positive,fp_no_gt_iou50,916d.jpg,,sls-40,0.4032,0.20601,0.969248,242.95,317.21,283.18,358.79
false_positive,fp_no_gt_iou50,685dt.jpg,,tls-g,0.3033,0.217895,0.916057,1086.93,292.45,1146.25,430.06
false_positive,fp_no_gt_iou50,563dt.jpg,,tls-g,0.3074,0.213131,0.935711,306.28,411.13,335.32,478.62
false_positive,fp_no_gt_iou50,852a.jpg,,sls-80,0.4655,0.21515,0.924511,402.76,399.8,438.5,435.55
false_positive,fp_duplicate_or_unmatched,536ft.jpg,tls-e,tls-e,0.5673,0.209457,0.947221,649.82,181.09,793.52,233.0
false_positive,fp_no_gt_iou50,421et.jpg,,tls-e,0.2631,0.213018,0.929271,512.42,127.99,550.67,228.12
false_positive,fp_duplicate_or_unmatched,959d.jpg,sls-40,sls-40,0.6257,0.206378,0.958561,358.48,247.16,414.68,299.42
false_positive,fp_no_gt_iou50,1104c.jpg,,sls-40,0.0,0.222843,0.88354,193.07,415.06,248.0,471.34
false_positive,fp_duplicate_or_unmatched,924et.jpg,tls-e,tls-e,0.849,0.202375,0.965396,1193.61,144.45,1257.89,314.91
false_positive,fp_no_gt_iou50,914ft.jpg,,tls-g,0.4571,0.213682,0.906023,139.19,265.32,194.9,378.7
false_positive,fp_no_gt_iou50,1081dt.jpg,,tls-g,0.0,0.199122,0.970975,471.17,357.59,514.27,462.65
false_positive,fp_no_gt_iou50,855.jpg,,sls-80,0.4965,0.218748,0.883778,266.64,410.86,314.14,462.76
false_positive,fp_no_gt_iou50,957bt.jpg,,tls-r,0.25,0.206938,0.932976,963.95,324.58,990.3,400.43
false_positive,fp_duplicate_or_unmatched,563ft.jpg,tls-g,tls-g,0.8219,0.205508,0.936683,690.78,19.39,748.1,136.43
false_positive,fp_duplicate_or_unmatched,712gt.jpg,tls-y,tls-y,0.8102,0.195931,0.977667,1174.97,321.92,1219.56,434.05
false_positive,fp_no_gt_iou50,836t.jpg,,tls-e,0.1242,0.204697,0.932126,373.5,92.31,413.57,185.24
false_positive,fp_no_gt_iou50,958t.jpg,,tls-g,0.2779,0.201413,0.947325,501.76,343.71,530.39,424.1
false_positive,fp_no_gt_iou50,508ct.jpg,,tls-g,0.2869,0.20313,0.935271,406.05,424.73,431.35,497.94
false_positive,fp_no_gt_iou50,2703b.jpg,,tls-g,0.0,0.206842,0.916819,919.98,423.84,980.49,449.46
false_positive,fp_no_gt_iou50,1204.jpg,,tls-g,0.0,0.207813,0.909966,416.78,470.97,473.09,538.28
false_positive,fp_no_gt_iou50,956et.jpg,,tls-g,0.452,0.19532,0.967058,446.52,82.28,573.12,124.68
false_positive,fp_no_gt_iou50,769a.jpg,,sls-100,0.3359,0.208164,0.905124,363.79,510.67,396.01,546.51
false_positive,fp_no_gt_iou50,508jt.jpg,,tls-g,0.4479,0.191064,0.979809,967.37,286.97,1015.22,421.03
false_positive,fp_duplicate_or_unmatched,958ct.jpg,tls-g,tls-g,0.6854,0.198944,0.940272,164.37,145.79,249.63,322.64
false_positive,fp_no_gt_iou50,609ht.jpg,,tls-g,0.3737,0.192826,0.969905,260.47,50.01,315.33,169.61
false_positive,fp_no_gt_iou50,873d.jpg,,sls-60,0.1678,0.205311,0.905433,31.58,357.25,65.44,405.51
false_positive,fp_no_gt_iou50,495kt.jpg,,tls-g,0.2762,0.189865,0.97636,121.17,401.83,157.55,476.58
false_positive,fp_no_gt_iou50,496it.jpg,,tls-g,0.2925,0.2052,0.900608,143.4,386.46,183.23,472.34
false_positive,fp_no_gt_iou50,510c.jpg,,sls-50,0.0017,0.200507,0.912811,219.1,381.04,291.47,459.92
false_positive,fp_no_gt_iou50,762b.jpg,,sls-80,0.3919,0.195957,0.933666,367.56,504.6,412.99,549.48
false_positive,fp_no_gt_iou50,761.jpg,,sls-80,0.2829,0.196171,0.929814,286.81,500.43,325.22,539.28
false_positive,fp_no_gt_iou50,2090.jpg,,tls-g,0.0,0.198324,0.91936,87.43,425.19,129.07,477.38
false_positive,fp_no_gt_iou50,1919t.jpg,,tls-g,0.1053,0.194788,0.929958,1092.37,628.78,1122.72,698.37
false_positive,fp_no_gt_iou50,775a.jpg,,sls-40,0.2056,0.186368,0.970003,430.41,509.7,470.12,544.02
false_positive,fp_no_gt_iou50,729gt.jpg,,tls-y,0.2201,0.201023,0.897967,386.86,279.28,412.18,340.09
false_positive,fp_duplicate_or_unmatched,587jt.jpg,tls-g,tls-g,0.8251,0.195214,0.92354,722.73,54.27,775.46,187.68
false_positive,fp_no_gt_iou50,966ht.jpg,,tls-r,0.3599,0.18893,0.953849,406.28,128.86,480.7,178.47
false_positive,fp_no_gt_iou50,427lt.jpg,,tls-y,0.1946,0.188131,0.957597,179.63,472.27,233.1,625.89
false_positive,fp_no_gt_iou50,508ht.jpg,,tls-g,0.4057,0.189263,0.950282,761.87,384.24,791.07,478.77
false_positive,fp_duplicate_or_unmatched,959.jpg,sls-40,sls-40,0.6817,0.191946,0.936766,460.03,301.45,504.42,346.9
false_positive,fp_duplicate_or_unmatched,969c.jpg,sls-50,sls-50,0.6129,0.185711,0.967265,41.61,191.58,96.81,252.3
false_positive,fp_no_gt_iou50,762c.jpg,,sls-80,0.2321,0.198983,0.901602,116.09,441.58,187.04,515.16
false_positive,fp_duplicate_or_unmatched,836ct.jpg,tls-e,tls-e,0.5736,0.191909,0.933502,505.47,31.8,552.49,127.05
false_positive,fp_duplicate_or_unmatched,956et.jpg,tls-g,tls-g,0.8331,0.183553,0.973811,216.55,247.18,263.54,344.92
false_positive,fp_duplicate_or_unmatched,568d.jpg,sls-50,sls-50,0.5479,0.185898,0.958565,117.59,357.09,172.4,417.64
false_positive,fp_no_gt_iou50,508mt.jpg,,tls-g,0.3679,0.187286,0.951334,239.88,337.8,294.1,470.34
